First,Last,Height,Weight,Score
Braden,Sullivan,6-2,230,0.7900
Aiden,Sullivan,6-1,215,0.8200
Katin,Surprenant,6-3,240,0.8006
Trae,Swartz,6-5,250,0.8163
Jayson,Tarpeh,6-6,315,0.7783
Jonah,Tauanu'u,6-5,290,0.9000
Tray,Taylor,5-6,150,0.8711
Terrell,Taylor,5-11,185,0.8163
Charles,Thomas,6-2,182,0.7956
Keaton,Thomas,6-2,230,0.8558
Dakota,Thomas,6-0,200,0.8467
Dante,Thomas,6-1,190,0.8644
Hunter,Tipton,6-5,235,0.8204
Luke,To'omalatai,6-2,300,0.8489
Eddy,Toussom,6-4,240,0.8442
Sani,Tuala,6-5,260,0.8417
Petey,Tucker,6-3,195,0.8200
David,Tuihalangingie,5-11,190,0.8139
Courage,Ugochukwu,6-2,180,0.7800
Karsten,Upchurch,6-5,270,0.8489
Frank,Valentino,6-1,170,0.7800
Christian,Vaughn,5-9,203,0.7883
Trevell,Vivians,6-4,315,0.7833
Jamal,Wallace,6-2,302,0.8667
Jaxxon,Warren,6-7,245,0.8600
Jaxxon,Warren,6-7,245,0.8600
Tyrei,Washington,5-10,205,0.8156
Shone,Washington,6-3,297,0.8692
RJ,Whitehead,6-5,300,0.7733
Omiri,Wiggins,5-10,205,0.8000
Seth,Wilfred,6-6,295,0.8672
Ethan,Williams,5-11,190,0.7800
Zacchaeus,Williams,6-4,275,0.8050
Alvin,Williams,6-4,220,0.8500
Marquis,Willis,6-2,225,0.8900
Korian,Wilson,5-10,175,0.7894
Tyler,Woodard,6-2,195,0.8756
Cameron,Wright,6-3,210,0.8630
Wyatt,Wright,6-2,225,0.8667
Amarion,York,6-2,202,0.8494
Jonathan,Young,6-6,290,0.8647
Joseph,Young,6-1,195,0.8483
